FileName,FunctionalCategory,PlatformEntity,KeyFields,ProposedDBMapping,APIMapping,UIScreen
8.2.1.1 Powder Line Forms/8.2.1.1.1 Daily Temperature Check Log.xlsx,PROCESS CONTROL,ProcessControl,Cure Oven Temperature; Cure oven temp.; Cure Oven Temp Setting; Dry -Off oven Temperature; Washer Temperature; Cure Oven Set Point; Product Entering Cure Oven; Operator; Time OR Reason; Time of Inspection; Dry-Off temp gauge; Operator Inspecting; Dry-Off Temp Setting; Date:________________; Shift:________________; Pendant Count: Run Time:; Stage 1 pump pressure **; Stage 3 pump pressure **; Stage 4 pump pressure **; Stage 2 pump pressure **; Comments; Washer Temp Stage 1 (120-150F); Line speed; Burner Light On; Dry Off Set Point,"NEW process.ProcessCheck (PlantId, ProductionLineId, EquipmentId, CheckDateTime, ShiftId, ParameterId, Value, SpecMin, SpecMax, IsInSpec, ReactionTaken, VerifiedBy)",NEW,Powder Line Process Checklist
8.2.1.1 Powder Line Forms/8.2.1.1.13 Offline Batch Oven Daily Check Sheet.xls,PROCESS CONTROL,ProcessControl,UNKNOWN,"NEW process.ProcessCheck (PlantId, ProductionLineId, EquipmentId, CheckDateTime, ShiftId, ParameterId, Value, SpecMin, SpecMax, IsInSpec, ReactionTaken, VerifiedBy)",NEW,Powder Line Process Checklist
8.2.1.1 Powder Line Forms/8.2.1.1.14 Filter Change Log.xls,MAINTENANCE / PM,Maintenance,UNKNOWN,"NEW maintenance.MaintenanceLog (PlantId, EquipmentId, TaskId, PerformedDateTime, PerformedBy, VerifiedBy, Notes)",NEW,Maintenance / PM Log
8.2.1.1 Powder Line Forms/8.2.1.1.16 Powder Booth Weekly Cleaning and Maintenance Check Sheet.xlsx,PROCESS CONTROL,ProcessControl,Date:; Shift; Friday (days); Clean out behind powder.; Brush powder path of Auto guns.,"NEW process.ProcessCheck (PlantId, ProductionLineId, EquipmentId, CheckDateTime, ShiftId, ParameterId, Value, SpecMin, SpecMax, IsInSpec, ReactionTaken, VerifiedBy)",NEW,Powder Line Process Checklist
8.2.1.1 Powder Line Forms/8.2.1.1.17 Cure Oven Cleaning Log.xls,MAINTENANCE / PM,Maintenance,UNKNOWN,"NEW maintenance.MaintenanceLog (PlantId, EquipmentId, TaskId, PerformedDateTime, PerformedBy, VerifiedBy, Notes)",NEW,Maintenance / PM Log
8.2.1.1 Powder Line Forms/8.2.1.1.18 Dry Off Oven Cleaning Log.xls,MAINTENANCE / PM,Maintenance,UNKNOWN,"NEW maintenance.MaintenanceLog (PlantId, EquipmentId, TaskId, PerformedDateTime, PerformedBy, VerifiedBy, Notes)",NEW,Maintenance / PM Log
8.2.1.1 Powder Line Forms/8.2.1.1.2 Paint Record.xlsx,PRODUCTION TRACKING,ProductionRun,"Paint/Batch Lot:; Time:; SHIFT :; Initials; Shift (M/D/A); DAYS; Line Speed; AFTERNOONS; PAINT RECORD; Re-claim LBS; Paint Colour:; Box OR Drum #; Powder IN Weight; Record any adjustments made to recipe; Recipe Called , if no recipe was used record N/A","NEW production.ProductionRun (PlantId, ProductionLineId, StartTime, EndTime, CustomerId, PartId, LotNumber, LoadBarId/RackId, ShiftId, OperatorUserId, QuantityLoaded, QuantityUnloaded)",NEW,Production Run / Load Tracking
8.2.1.1 Powder Line Forms/8.2.1.1.29 Offline Booth Pressure Differential Gauge Check Sheet.xlsx,PROCESS CONTROL,ProcessControl,DATE; INITIALS; FINAL FILTER; PPE REQUIRED:; COLLECTOR GAUGE READING; Offline Paint Booth Pressure Differential Gauge Check Sheet,"NEW process.ProcessCheck (PlantId, ProductionLineId, EquipmentId, CheckDateTime, ShiftId, ParameterId, Value, SpecMin, SpecMax, IsInSpec, ReactionTaken, VerifiedBy)",NEW,Powder Line Process Checklist
8.2.1.1 Powder Line Forms/8.2.1.1.33 Pre Cure Inspection.xlsx,QUALITY INSPECTION,Inspection,Time:; Date:; Part #; Shift:; Initials; Part Condition; Powder Line Pre Cure Inspection; Action Taken; Paint Colour:; Check Powder for Clumpiness - Visual,"NEW inspection.InspectionRecord (PlantId, LineTypeId, CustomerId, PartId, LotNumber, InspectionDateTime, ShiftId, InspectorUserId, QuantityInspected, QuantityRejected) + NEW inspection.InspectionDefect (DefectTypeId, Count, LocationCode/Notes)",NEW,Inspection & Defect Entry
8.2.1.1 Powder Line Forms/8.2.1.1.35 Powder Booth Recipe Parameter Template.xlsx,PROCESS CONTROL,ProcessControl,High Voltage [kV]; Powder Quantity [%]; HV; No.; ASR; Guns; Switch; Selection; Reciprocators; Sliding Tables; Fore-run[inch]; Speed [ft/min]; Overlap [Inch]; After-run[Inch]; Distance [Inch]; Total Air [Nm3/hr]; Start fore-run [Inch]; Stop After-run [Inch]; Current Limitation [uA]; Upper Reversal Point [Inch]; Positioning [Recognition/Recipe],"NEW process.ProcessCheck (PlantId, ProductionLineId, EquipmentId, CheckDateTime, ShiftId, ParameterId, Value, SpecMin, SpecMax, IsInSpec, ReactionTaken, VerifiedBy)",NEW,Powder Line Process Checklist
