Comparison Dimension,Plant 1 Baseline,Evidence to Collect in Plant N,Match Status (Match / Partial / Divergent),Normalization Action,Impact (High/Medium/Low)
Core traceability key (run/load/rack id),Break between load sheets (load bar start/end) and defect/inspection logs; no universal run ID carried through. (Likely universal problem),"Does Plant N have a run/load identifier that appears on load sheet AND inspection/defect log? What is it called (rack, bar, batch, cart, carrier)?",,Define platform-standard ProductionRun + LoadRecord identifiers; require on inspection/defect/NCR screens.,High
Defect taxonomy consistency,Customer-specific defect lists vary; 'Other (Define Defect)' free-text exists. (Universal pattern; exact lists customer-specific),Collect all defect terms used on Plant N forms; note any local-only terms. Capture whether free-text buckets exist.,,Standardize to shared DefectType leaf nodes; store original label + map; remove free-text except controlled 'Other' reason.,High
Inspection record format,"Mixture of Excel templates and scanned paper; some forms record defect locations (cavity codes) rather than counts. (Likely customer-driven, universal in spirit)",Identify if Plant N has scanned/paper inspection logs; whether defect-by-location is required by any customer.,,Support both defect count and defect location capture as child records under InspectionRecord.,High
Production tracking (load/unload quantities),Load sheet exists; denominator fields not consistently present on defect logs. (Universal),Does Plant N capture qty loaded/unloaded/inspected consistently? Where is denominator captured?,,Require QuantityLoaded/Unloaded/Inspected at ProductionRun level; link to InspectionRecord.,High
E-Coat bath chemistry tracking,Large volume of LAB/CHEMISTRY templates; specs recorded. (Plant-specific to e-coat plants),"If Plant N has e-coat, collect tank list + chemistry parameters + frequency; if not, confirm alternative chemistry (pretreat only, etc.).",,Make LabChemistry entity configurable by LineType (ECOAT vs others).,Medium
Powder recipe / booth parameter tracking,Powder recipe templates and process checklists exist. (Plant-specific to powder plants),"If Plant N has powder, capture booth/oven parameters and whether they are recorded numerically or check-off.",,ProcessControl parameter catalog must be line-type aware (Powder vs E-Coat).,Medium
Out-of-spec reaction plan usage,Out-of-spec reaction form exists but not tied to NCR number. (Universal),Does Plant N use a reaction plan form? Is it numbered? Does it trigger NCR/CAPA automatically?,,Add system rule: repeated out-of-spec or unclosed reactions auto-create NCR draft with linkage.,High
Disposition capture standardization,Disposition captured as columns (Rework/Scrap) rather than standard codes; approval evidence weak. (Universal),Collect Plant N disposition logs/fields; list terms used for disposition; check customer approval gates.,,Map local terms to standard DispositionCodes; enforce customer approval workflow where required.,High
GP-12 containment tracking,GP12 flow and tag needs exist as docs/labels; no per-lot GP12 status tracking. (Customer-driven; likely universal),Does Plant N have GP-12 forms/tags? How is GP-12 exit documented? Is it per customer program?,,Model GP-12 as configurable containment profile per customer/part with status per ProductionRun/Lot.,High
Shipping release / certification labels,Labels exist but lack lot/run linkage. (Universal),"Gather Plant N labels, cert logs, ship release forms; confirm what identifiers are printed.",,Require lot/run identifier on any ship-release record; link to ProductionRun + Inspection summary.,High
Calibration references on inspection records,Calibration log exists but inspection forms don’t reference instrument IDs. (Universal),Check if Plant N inspection/test forms include gage IDs/cal due dates; collect calibration system evidence.,,Add optional instrument linkage on test result records; support audit export of calibration status.,High
Training/competency linkage,Operator identity commonly captured as initials; no competency link evidence in forms reviewed. (Likely universal),"Collect Plant N training/qualification forms (if any) and how operators are identified (badge, employee ID).",,Standardize user identity capture (badge scan) and link actions/inspections to TrainingCompetency records.,High
Document control / revision control,Duplicate '-edit' versions and stale templates present; no enforced obsolescence visible. (Universal),"Check Plant N for duplicate templates, edit copies, archives in active folders; capture revision evidence fields.",,Centralize templates with DocumentRevision entity; block obsolete revisions in UI.,High
Data capture medium (Excel vs paper scans),Scanned inspection records exist alongside Excel templates. (Universal risk; volume plant-specific),"Quantify in Plant N: % paper scans vs digital; identify why (customer format, floor constraints).",,Prioritize mobile/tablet floor entry; add scan ingestion only as temporary bridge.,Medium
Equipment/process area reference data,E-coat stages and powder equipment appear across forms; need consistent ProcessArea/Equipment lists. (Universal),"Collect Plant N equipment names, line stages, and how they appear on forms.",,"Normalize reference data for ProcessArea, Equipment; enforce via dropdowns.",Medium
