GapId,Gap,Finding,Impact,Evidence,Confidence
1,NCR Gap,"NCR-adjacent records (Out-of-Spec Reaction, Part Fallout Log) have no NCR number/unique tracking ID on the form.",Events can’t be tied to a single case record; trending and closure tracking become manual and unreliable.,8.2.1.2 ECoat Line Forms/8.2.1.2.10 Out of Specification Reaction Form.xlsx | Sheet 1 D1='OUT OF SPECIFICATION REACTION FORM' (no NCR/ID field found); 8.2.1.2 ECoat Line Forms/8.2.1.2.29 Part Fallout log.xlsx | Sheet1 A2='PART FALLOUT LOG' (no NCR field found),High
2,NCR Gap,Root cause / corrective action capture is not integrated into these reaction logs; at best there are adjustment notes.,No closed-loop IATF-style containment→cause→verification without creating separate paperwork or tribal knowledge.,8.2.1.2 ECoat Line Forms/8.2.1.2.10 Out of Specification Reaction Form.xlsx | Sheet 1 D1='OUT OF SPECIFICATION REACTION FORM' (no NCR/ID field found),High
3,Traceability Gap,Load identifiers exist on load sheets (load bar color run start/end) but are not carried into defect/inspection tracking forms.,Complaint trace-back breaks between production tracking and inspection/defect logs.,8.2.1.1 Powder Line Forms/8.2.1.1.9 Part Load Sheet.xls.xlsx | Sheet 1 H5='Starting Load Bar of Colour Run:' (load id exists here but not on defect/inspection forms),High
4,Traceability Gap,"GLDC inspection records capture defect location codes (e.g., A6, R4 BP) but not a rack/load/run identifier.",You can’t link defects to a specific production run or process parameters without guesswork.,"8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.34 GLDC/Scanned Copies/March 15 2024_005.jpg | Defect grid records location codes (e.g., 'A6', 'R4 BP') not counts",High
5,Traceability Gap,Operator identity is often recorded as initials only.,Can’t reliably link defects to qualified individuals or build accountability/competency analytics.,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.5 Powder Defect Tracking Sheet.xlsx | Sheet DEFECT TRACKING S3='Operator Initials'; 8.2.1.1 Powder Line Forms/8.2.1.1.9 Part Load Sheet.xls.xlsx | 'Operator Initials',High
6,Data Consistency Gap,"Customer-specific defect tracking sheets use different defect lists (e.g., 'Paint in Threads' vs 'Pinholes' vs 'Sanding marks').",Plant-level Pareto and cross-customer trend analysis requires manual normalization.,"Examples: 8.2.1.3.1.5 (Paint in Threads); 8.2.1.3.6.12 (Pinholes, Sanding marks)",High
7,Data Consistency Gap,Free-text 'Other (Define Defect)' buckets exist on core defect tracking sheets.,Data becomes non-aggregatable; analysts end up parsing text instead of using controlled taxonomy.,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.5 Powder Defect Tracking Sheet.xlsx | Sheet DEFECT TRACKING N3='Other (Define Defect)',High
8,Quantification Gap,Defect tracking forms list defect types but don’t consistently capture denominators (total loaded/inspected) on the same record.,PPM and first-pass yield cannot be calculated reliably from the defect log alone.,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.5 Powder Defect Tracking Sheet.xlsx | Sheet DEFECT TRACKING Row 3 (defect columns + rework/scrap columns; no qty inspected/loaded fields),High
9,Quantification Gap,Some inspection records emphasize defect location marking rather than count-per-defect.,Quantitative defect rates become impossible without rework.,"8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.34 GLDC/Scanned Copies/March 15 2024_005.jpg | Defect grid records location codes (e.g., 'A6', 'R4 BP') not counts",Medium
10,Disposition Gap,"Disposition is captured as ad-hoc columns like 'Repaired @ Line', 'Sent To Rework', 'Scrapped'—not mapped to standard DispositionCodes.",Disposition reporting and approval logic won’t be consistent; scrap/rework totals drift.,8.2.1.3 Inspection and Testing Forms and Labels/8.2.1.3.1 General/8.2.1.3.1.5 Powder Defect Tracking Sheet.xlsx | Sheet DEFECT TRACKING Q3='Scrapped' (also Rework columns on same header row),High
