Source,FormDefectName,AuditProposedParentCode,AuditProposedLeafCode,AuditProposedLeafName,LiveDBParentCode,LiveDBLeafCode,LiveDBLeafName,LineTypeCode,ReconciliationStatus,ReconciliationNote
Plant1-Claude,Light Coverage,COVERAGE,COVERAGE-LIGHT,Light Coverage,COV,COV-THN,Low Film Build / Light Coverage,POWDER,MAPPED,Audit "Light Coverage" maps to live DB "COV-THN"
Plant1-Claude,Light Coverage,COVERAGE,COVERAGE-LIGHT,Light Coverage,COV,COV-THN,Low Film Build / Light Coverage,ECOAT,MAPPED,Same mapping for e-coat
Plant1-ChatGPT,Light Coverage,COVERAGE,LIGHT-COVERAGE,Light Coverage / Thin Film,COV,COV-THN,Low Film Build / Light Coverage,BOTH,MAPPED,ChatGPT used BOTH; same DB target
Plant1-ChatGPT,Lt. cov/ Dry spray,COVERAGE,LIGHT-COVERAGE,Light Coverage / Thin Film,COV,COV-THN,Low Film Build / Light Coverage,UNKNOWN,MAPPED,AGS/Accurate variant normalizes to COV-THN
Plant1-Claude,Heavy Coverage / Build-Up,COVERAGE,COVERAGE-HEAVY,Heavy Coverage/Build-Up,COV,COV-THK,Excessive Film Build / Heavy Coat,POWDER,MAPPED,Audit "Heavy" maps to live DB "COV-THK"
Plant1-Claude,Heavy Coverage / Build-Up,COVERAGE,COVERAGE-HEAVY,Heavy Coverage/Build-Up,COV,COV-THK,Excessive Film Build / Heavy Coat,ECOAT,MAPPED,Same
Plant1-ChatGPT,Heavy powder,COVERAGE,HEAVY-COAT,Excessive Film Build,COV,COV-THK,Excessive Film Build / Heavy Coat,UNKNOWN,MAPPED,ChatGPT variant same target
Plant1-ChatGPT,Heavy,COVERAGE,HEAVY-COAT,Excessive Film Build,COV,COV-THK,Excessive Film Build / Heavy Coat,UNKNOWN,MAPPED,Warren variant same target
Plant1-ChatGPT,Build Up,APPLICATION,BUILD-UP,Build Up,COV,COV-THK,Excessive Film Build / Heavy Coat,BOTH,MAPPED,ChatGPT put under APPLICATION; DB correctly classifies as COV
Plant1-Claude,Bare Metal / No Coat,COVERAGE,COVERAGE-BARE,Bare Metal/No Coat,COV,COV-BAR,Bare Spot / Holiday / Skip Area,ECOAT,MAPPED,Direct match
Plant1-ChatGPT,Bare Metal,COVERAGE,BARE-METAL,Bare Metal / Missing Coat,COV,COV-BAR,Bare Spot / Holiday / Skip Area,ECOAT,MAPPED,Same target
Plant1-Claude,Dry Spray,COVERAGE,COVERAGE-DRY,Dry Spray,TEX,TEX-DRY,Rough / Dry Spray / Powdery Texture,POWDER,MAPPED,Audit placed in COVERAGE; DB places in TEX (Surface Texture) — DB categorization is more precise
Plant1-Claude,Orange Peel,SURFACE,SURFACE-ORANGEPEEL,Orange Peel,TEX,TEX-ORP,Orange Peel / Poor Flow Texture,POWDER,EXACT,Direct match
Plant1-Claude,Orange Peel,SURFACE,SURFACE-ORANGEPEEL,Orange Peel,TEX,TEX-ORP,Orange Peel / Poor Flow Texture,ECOAT,EXACT,Direct match
Plant1-ChatGPT,Orange Peel,TEXTURE,ORANGE-PEEL,Orange Peel,TEX,TEX-ORP,Orange Peel / Poor Flow Texture,POWDER,EXACT,ChatGPT correctly placed in TEXTURE
Plant1-ChatGPT,Rough Spots,TEXTURE,ROUGHNESS,Rough Spots,TEX,TEX-ORP,Orange Peel / Poor Flow Texture,ECOAT,MAPPED,Rough spots normalize to orange peel in DB
Plant1-Claude,Runs/Sags,SURFACE,SURFACE-RUNS,Runs/Sags,TEX,TEX-SAG,Runs / Sags / Curtains,ECOAT,MAPPED,Audit "SURFACE" vs DB "TEX" category; leaf matches
Plant1-ChatGPT,Paint Runs,SURFACE,PAINT-RUNS,Runs / Sags,TEX,TEX-SAG,Runs / Sags / Curtains,ECOAT,MAPPED,Same target
Plant1-Claude,Fisheyes,SURFACE,SURFACE-FISHEYE,Fisheyes,CON,CON-FIS,Fisheye / Cratering (Surface Tension),POWDER,MAPPED,Audit placed in SURFACE; DB places in CON — DB is correct (contamination-driven)
Plant1-ChatGPT,Fish Eyes,SURFACE,FISH-EYE,Fish Eyes,CON,CON-FIS,Fisheye / Cratering (Surface Tension),UNKNOWN,MAPPED,Same target; ChatGPT also placed in SURFACE
Plant1-ChatGPT,Fisheyes,SURFACE,FISH-EYE,Fish Eyes,CON,CON-FIS,Fisheye / Cratering (Surface Tension),UNKNOWN,MAPPED,ABM variant same target
Plant1-Claude,Pinholes,SURFACE,SURFACE-PINHOLE,Pinholes,BLS,BLS-PIN,Pinholes / Porosity,POWDER,MAPPED,Audit placed in SURFACE; DB places in BLS (Blistering & Porosity) — DB is correct
Plant1-ChatGPT,Pinholes,SURFACE,PINHOLES,Pinholes,BLS,BLS-PIN,Pinholes / Porosity,UNKNOWN,MAPPED,Same target
Plant1-Claude,Bubbles,SURFACE,SURFACE-BUBBLE,Bubbles,BLS,BLS-SOL,Solvent Pop / Microblistering,ECOAT,MAPPED,Audit placed in SURFACE; DB places in BLS
Plant1-ChatGPT,Bubbles,SURFACE,BUBBLES,Bubbles / Air Pockets,BLS,BLS-SOL,Solvent Pop / Microblistering,ECOAT,MAPPED,Same target
Plant1-Claude,Back Ionization,PROCESS,PROCESS-BACKION,Back Ionization,SPC,SPC-BRN,Electrochemical Burn / Over-Etch,POWDER,MAPPED,Audit "PROCESS" vs DB "SPC" (Specialty Finishing)
Plant1-ChatGPT,Back Ionization,APPLICATION,BACK-IONIZATION,Back Ionization,SPC,SPC-BRN,Electrochemical Burn / Over-Etch,POWDER,MAPPED,ChatGPT placed in APPLICATION; DB SPC is correct
Plant1-Claude,Missing Texture,PROCESS,PROCESS-TEXTURE,Missing Texture,TEX,TEX-DRY,Rough / Dry Spray / Powdery Texture,POWDER,MAPPED,Missing texture is a variant of texture defect; maps to TEX-DRY
Plant1-Claude,Paint in Threads,PROCESS,PROCESS-THREADS,Paint in Threads,MAS,MAS-OVR,Overspray / Blowby,POWDER,MAPPED,Audit "PROCESS" vs DB "MAS" (Masking) — paint in threads is masking/overspray
Plant1-ChatGPT,Paint in Threads,APPLICATION,PAINT-IN-THREADS,Paint in Threads,MAS,MAS-OVR,Overspray / Blowby,POWDER,MAPPED,ChatGPT placed in APPLICATION; DB MAS is correct
Plant1-Claude,Adhesion Failure,PROCESS,PROCESS-ADHESION,Adhesion Failure,ADH,ADH-SUB,Substrate Adhesion Failure (Peel to Base),ECOAT,MAPPED,Direct functional match
Plant1-ChatGPT,Adhesion Fail,PROCESS,PROCESS-ADHESION,Adhesion Failure,ADH,ADH-SUB,Substrate Adhesion Failure (Peel to Base),ECOAT,MAPPED,GLDC form variant
