HierarchyLevel,ParentCode,DefectCode,DefectName,DefaultSeverityId,SortOrder,Description
1,,ADH,Adhesion,,10,Loss of bond between finish and substrate or between layers (including weak-boundary-layer driven delamination).
1,,TEX,Surface Texture,,20,"Nonconforming surface texture or flow/leveling appearance (runs, orange peel, roughness)."
1,,CON,Contamination & Inclusions,,30,"Foreign matter or surface-energy contamination causing defects (particles, fisheyes, embedded objects)."
1,,APP,Color & Appearance,,40,"Visual attributes out of spec (color/shade, gloss/reflectivity, mottling/uneven appearance)."
1,,COV,Coverage & Film Build,,50,"Coating/plating/anodize thickness or continuity out of spec (thin, bare/skip, heavy)."
1,,CUR,Cure & Film Formation,,60,"Cure/bake/film-formation problems in organic coatings (soft, brittle, wrinkled)."
1,,BLS,Blistering & Porosity,,70,"Bubbles, pinholes, porosity, or blistering (solvent pop, osmotic)."
1,,COR,Corrosion,,80,"Corrosion products or underfilm corrosion mechanisms (red rust, white corrosion, filiform/creep)."
1,,DAM,Damage & Substrate Integrity,,90,"Physical damage or base-material integrity issues (scratches, rack marks, cracking)."
1,,MAS,Masking & Dimensional,,100,"Keep-out zone protection failures (overspray, masking failure, plugged features)."
1,,SPC,Specialty Finishing,,110,"Electrochemical/mechanical finishing-specific surface conditions (burn/over-etch, pits, swirl/buff lines)."
1,,DOC,Identification & Documentation,,120,Labeling/traceability/documentation defects affecting product identification and shipment integrity.
2,ADH,ADH-SUB,Substrate Adhesion Failure (Peel to Base),7,1,"Finish lifts/peels to bare substrate (or plating lifts to base), including loss of bond at the substrate interface."
2,APP,APP-COL,Color Mismatch / Wrong Shade,6,1,"Color not within approved standard/tolerance (wrong paint lot, dye mismatch, shade drift, incorrect mix)."
2,BLS,BLS-SOL,Solvent Pop / Microblistering,5,1,"Microblisters or ""pops"" from trapped volatiles/solvent/water flashing during bake or cure."
2,CON,CON-FIS,Fisheye / Cratering (Surface Tension),4,1,Crater/fisheye defects driven by low-surface-energy contamination (silicone/oil/soap) or incompatible residues causing dewetting.
2,COR,COR-RUS,Red Rust / Rust Through,8,1,"Ferrous corrosion visible (red rust, rust-through, rust staining) indicating protection failure or bare exposure."
2,COV,COV-THN,Low Film Build / Light Coverage,6,1,"Insufficient thickness/coverage versus spec (e.g., light coverage in functional area; underbuild on edges/complex geometry)."
2,CUR,CUR-UND,Undercure / Soft Film,6,1,"Insufficient cure/bake/crosslinking (soft, tacky, poor solvent resistance, poor durability)."
2,DAM,DAM-SCR,Scratch / Abrasion Damage,5,1,"Linear scratches, scuffs, abrasion marks, or rub-through damage from handling, conveyance, or rework."
2,DOC,DOC-LBL,Mislabelled / Incorrect Label,7,1,"Wrong label information (part number, quantity, customer, revision, lot) or label applied to the wrong container/part."
2,MAS,MAS-OVR,Overspray / Blowby,5,1,"Unwanted spray deposition outside intended area (overspray haze, blowby, fogging onto adjacent surfaces)."
2,SPC,SPC-BRN,Electrochemical Burn / Over-Etch,6,1,"Burning/over-etch appearance from current density/chemistry imbalance (anodize burn, electropolish burn, plating burn)."
2,TEX,TEX-ORP,Orange Peel / Poor Flow Texture,3,1,"Wavy, pebbled ""orange peel"" texture from poor flow/leveling, viscosity/atomization, or film-build/gel effects."
2,ADH,ADH-INT,Intercoat Delamination (Between Layers),7,2,"Delamination between coating layers (e.g., e-coat to topcoat, primer to topcoat, clear to base) with intact substrate bond."
