FieldName,DataType,Nullable,DefaultValue,FK_Target,PopulatedAt,ValidValues,Description,TeamNotes
QualityAlertId,INT IDENTITY(1:1),NO,,,Creation,,Primary key — auto-generated,
AlertNumber,NVARCHAR(50) UNIQUE,NO,,,Creation,QA-{PlantCode}-{YYYYMMDD}-{SEQ},Auto-generated alert number,
PlantId,INT,NO,,dbo.Plant,Creation,,Plant where observation occurred. Auto-populated from user context.,
StatusCodeId,INT,NO,48 (QA-OPEN),dbo.StatusCode,Creation + transitions,,Current state. Updated by usp_TransitionState.,
ProductionLineId,INT,YES,,dbo.ProductionLine,Creation,,Line where observation occurred. Auto-populated from user context.,
EquipmentId,INT,YES,,dbo.Equipment,Creation or Review,,Specific equipment involved (if known),
ShiftId,INT,YES,,dbo.Shift,Creation,,Auto-populated from current shift context,
PartId,INT,YES,,dbo.Part,Creation or Review,,Part number affected (if known at creation),
CustomerId,INT,YES,,dbo.Customer,Creation or Review,,Customer for the affected part,
LotNumber,NVARCHAR(50),YES,,,Creation or Review,,Lot/batch affected,
AlertSourceCode,NVARCHAR(30),NO,,,Creation,"Visual, Instrument, SPCSignal, ProcessAlarm, CustomerFeedback, Other",How was this observed?,
Description,NVARCHAR(500),NO,,,Creation,Free text,"What was observed. 500 chars is enough for 'orange peel on rack 14 batch 2247'",
QuantityAffected,INT,YES,,,Creation or Review,,How many parts are involved (estimated OK),
DefectTypeId,INT,YES,,dbo.DefectType,Confirmed transition,,What IS the defect? From L1/L2 taxonomy.,
SeverityRatingId,INT,YES,,dbo.SeverityRating,Confirmed transition,"Minor, Moderate, Major, Critical",How bad is it?,
FamiliarityCode,NVARCHAR(20),YES,,,Confirmed transition,"Known, Unknown","Have we seen this before? Controls resolution path guard.",
ConfirmedById,INT,YES,,dbo.AppUser,Confirmed transition,,Who confirmed the defect,
ConfirmedDate,DATETIME2(0),YES,,,Confirmed transition,,When it was confirmed,
ConfirmationNotes,NVARCHAR(1000),YES,,,Confirmed transition,Free text,"What the reviewer observed/determined. Captures the 'what it actually is' narrative.",
ResolutionActionCode,NVARCHAR(30),YES,,,Resolved transition,"Scrap, Rework, UseAsIs, Adjusted, Contained",What was done to handle it in place?,
ResolutionNotes,NVARCHAR(500),YES,,,Resolved transition,Free text,Details of what was done,
QuantityRejected,INT,YES,,,Resolved transition,,How many scrapped/reworked,
ResolvedById,INT,YES,,dbo.AppUser,Resolved transition,,Who resolved it,
ResolvedDate,DATETIME2(0),YES,,,Resolved transition,,When it was resolved,
EscalatedToEntityType,NVARCHAR(30),YES,,,Escalated transition,"NCR, ProcessDeviation",What entity was spawned?,
EscalatedToEntityId,INT,YES,,,Escalated transition,,ID of the spawned entity,
EscalationReason,NVARCHAR(30),YES,,,Escalated transition,"KnownMajor, Unknown, AccumulationRule",Why was it escalated?,
AccumulationRuleId,INT,YES,,workflow.EscalationRule,Accumulation engine,,If this alert was auto-created by an accumulation rule,
IsGp12Related,BIT,NO,0,,Creation or Review,"0, 1",Is this alert within an active GP-12 containment?,
ReportedById,INT,NO,,dbo.AppUser,Creation,,Who reported the observation. Auto-populated from session.,
ReportedDate,DATETIME2(0),NO,SYSUTCDATETIME(),,Creation,,When reported,
DueDate,DATETIME2(0),YES,,,Transition,,Materialized at transition time per SLA rules,
